Basin,Region,Site,Reference,Indicator,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,SiteName,RSL_offset,Age_epoch_id,RSL_old,min_TG_Age,max_Age_proxy,Age_diff,No_TG,data_lm_slope,data_lm_slope_err,ICE6_GIA_slope,ICE5_GIA_slope,GIA_slope,sd_GIA_slope,SL
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.39,0.07,0.07,1.31,62,68,0.031,0.034,0.0325,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.10930801925100003
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.41,0.07,0.07,1.267,65,62,0.0325,0.031,0.03175,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11181562045069993
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.43,0.07,0.07,1.224,59,50,0.0295,0.025,0.02725,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11432322165039999
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.44,0.07,0.07,1.198,55,50,0.0275,0.025,0.02625,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11374642237579996
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.45,0.07,0.07,1.171,58,58,0.029,0.029,0.029,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11276282312910002
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.47,0.07,0.07,1.13,67,71,0.0335,0.0355,0.0345,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11608402427299991
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.48,0.07,0.07,1.11,70,73,0.035,0.0365,0.03575,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11794802483100003
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.49,0.07,0.07,1.089,73,75,0.0365,0.0375,0.037,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11940522541689996
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.51,0.07,0.07,1.048,79,73,0.0395,0.0365,0.038,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.12272642656080002
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.53,0.07,0.07,1.007,76,67,0.038,0.0335,0.03575,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.12604762770469996
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.55,0.07,0.07,0.965,71,53,0.0355,0.0265,0.031,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.1289620288765
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.57,0.07,0.07,0.914,66,50,0.033,0.025,0.029,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.12821523029940002
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.59,0.07,0.07,0.858,72,77,0.036,0.0385,0.03725,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.12543443186179998
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.61,0.07,0.07,0.804,81,83,0.0405,0.0415,0.041,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.12346723336839999
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.63,0.07,0.07,0.75,85,73,0.0425,0.0365,0.0395,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.12150003487499994
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.65,0.07,0.07,0.697,76,58,0.038,0.029,0.0335,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11993963635369997
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.67,0.07,0.07,0.64,44,52,0.022,0.026,0.024,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11675203794400002
