Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope,NI_var_term
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.93,0.07,0.07,-0.02,"Nassau,
 Florida",0.0515,0.051,0.05125,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0065005910418818955
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.95,0.07,0.07,-0.065,"Nassau,
 Florida",0.052,0.0505,0.05125,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.00871490947560094
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.97,0.07,0.07,-0.109,"Nassau,
 Florida",0.0495,0.049,0.04925,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.010676027978554622
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.99,0.07,0.07,-0.154,"Nassau,
 Florida",0.045,0.046,0.0455,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.010380206905457358
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.01,0.07,0.07,-0.198,"Nassau,
 Florida",0.0385,0.0455,0.042,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.007403079341617414
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.03,0.07,0.07,-0.245,"Nassau,
 Florida",0.027,0.0545,0.04075,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0013910537943130743
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.05,0.07,0.07,-0.284,"Nassau,
 Florida",0.0275,0.0565,0.042,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.00259420314346401
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.07,0.07,0.07,-0.316,"Nassau,
 Florida",0.0315,0.059,0.04525,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0034382373819109194
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.09,0.07,0.07,-0.349,"Nassau,
 Florida",0.0345,0.0655,0.05,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0020159026182062704
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.11,0.07,0.07,-0.38,"Nassau,
 Florida",0.0365,0.0725,0.0545,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0014408856204499187
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.13,0.07,0.07,-0.413,"Nassau,
 Florida",0.0375,0.0805,0.059,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.00639048589239264
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.15,0.07,0.07,-0.445,"Nassau,
 Florida",0.038,0.0875,0.06275,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.009886661623653564
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.17,0.07,0.07,-0.477,"Nassau,
 Florida",0.038,0.0955,0.06675,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.011854219456532214
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-1.18,0.07,0.07,-0.499,"Nassau,
 Florida",0.0405,0.1005,0.0705,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.012320197662301254
Massachusetts,Revere,Donnelly (2006),42.4_-71,42.4,-71,-1.83,0.06,0.06,-0.648,"Revere,
 Massachusetts",0.0745,0.0745,0.0745,0.06,01,ProxyData,0.58,0.016148807474848273,0.39556336402893066,0.006923886291827953
Massachusetts,Revere,Donnelly (2006),42.4_-71,42.4,-71,-1.29,0.07,0.07,0.137,"Revere,
 Massachusetts",0.045,0.045,0.045,0.07,01,ProxyData,0.58,0.016148807474848273,0.39556336402893066,0.001913760968157024
Massachusetts,Revere,Donnelly (2006),42.4_-71,42.4,-71,-0.69,0.06,0.06,0.988,"Revere,
 Massachusetts",0.0265,0.0265,0.0265,0.06,01,ProxyData,0.58,0.016148807474848273,0.39556336402893066,0.005413031247260365
