Basin,Region,Site,Reference,Indicator,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.49,0.06,0.06,1.487,95,95,"Wood Island,
 Massachusetts",0.0475,0.0475,0.0475,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.42,0.06,0.06,1.6,90,90,"Wood Island,
 Massachusetts",0.045,0.045,0.045,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.39,0.06,0.06,1.669,25,25,"Wood Island,
 Massachusetts",0.0125,0.0125,0.0125,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.35,0.06,0.06,1.7,50,50,"Wood Island,
 Massachusetts",0.025,0.025,0.025,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.19,0.06,0.06,1.875,25,25,"Wood Island,
 Massachusetts",0.0125,0.0125,0.0125,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.05,0.06,0.06,1.93,10,10,"Wood Island,
 Massachusetts",0.005,0.005,0.005,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.02,0.06,0.06,1.963,1,1,"Wood Island,
 Massachusetts",5e-4,5e-4,5e-4,0.06
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.15,0.08,0.08,2.005,1,7,"Sand Point,
 North Carolina",5e-4,0.0035,0.002,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.17,0.08,0.08,1.993,4,3,"Sand Point,
 North Carolina",0.002,0.0015,0.00175,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.19,0.08,0.08,1.99,2,2,"Sand Point,
 North Carolina",0.001,0.001,0.001,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.21,0.08,0.08,1.987,2,5,"Sand Point,
 North Carolina",0.001,0.0025,0.00175,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.23,0.08,0.08,1.979,6,3,"Sand Point,
 North Carolina",0.003,0.0015,0.00225,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.25,0.08,0.08,1.967,6,6,"Sand Point,
 North Carolina",0.003,0.003,0.003,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.26,0.08,0.08,1.96,8,2,"Sand Point,
 North Carolina",0.004,0.001,0.0025,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.28,0.08,0.08,1.947,8,16,"Sand Point,
 North Carolina",0.004,0.008,0.006,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.3,0.08,0.08,1.934,14,27,"Sand Point,
 North Carolina",0.007,0.0135,0.01025,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.31,0.08,0.08,1.929,17,30,"Sand Point,
 North Carolina",0.0085,0.015,0.01175,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.32,0.08,0.08,1.924,20,33,"Sand Point,
 North Carolina",0.01,0.0165,0.01325,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.33,0.08,0.08,1.918,23,32,"Sand Point,
 North Carolina",0.0115,0.016,0.01375,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.34,0.08,0.08,1.914,24,32,"Sand Point,
 North Carolina",0.012,0.016,0.014,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.35,0.08,0.08,1.909,26,35,"Sand Point,
 North Carolina",0.013,0.0175,0.01525,0.08
